Date,Time,Opponent,Location,Distance from MACU
21/08/25,5:00 PM,Dallas-Cedar Valley,Dill Soccer Field,19
25/08/25,3:30 PM,Tabor (Kan.)-JV,Dill Soccer Field,19
02/09/25,4:30 PM,Southwestern Christian (Okla.)-JV,"Bethany, Okla.",16
08/09/25,5:00 PM,Southwestern Christian (Okla.)-JV,Dill Soccer Field,19
10/09/25,6:00 PM,Tabor (Kan.)-JV,"Hillsboro, Kan.",220
19/09/25,3:30 PM,Science & Arts (Okla.)-JV,"Chickasha, Okla.",31
24/09/25,3:30 PM,Northeastern Oklahoma A&M,Dill Soccer Field,19
26/09/25,3:30 PM,Dallas Christian (Texas),Dill Soccer Field,19
01/10/25,3:30 PM,Science & Arts (Okla.)-JV,Dill Soccer Field,19
09/10/25,3:00 PM,Randall (Okla.),"Moore, Okla.",6
25/10/25,3:30 PM,Connors State (Okla.),Dill Soccer Field,19
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2025 MACU Developmental Men's Soccer Schedule,,,,
