Date,Time,Opponent,Location,Distance from MACU
03/09/25,5:00 PM,Kansas Wesleyan-JV,"Salina, Kan.",258
12/09/25,7:00 PM,Southwestern Oklahoma State-JV,"Weatherford, Okla.",74
24/09/25,7:00 PM,Science & Arts (Okla.)-JV,Dill Soccer Field,19
01/10/25,7:30 PM,Redlands CC (Okla.),"El Reno, Okla.",34
08/10/25,7:00 PM,Science & Arts (Okla.)-JV,"Chickasha, Okla.",31
15/10/25,7:00 PM,Randall (Okla.),Dill Soccer Field,19
24/10/25,7:00 PM,Rose State (Okla.),"Midwest City, Okla.",20
,,,,
,,,,
,,,,
,,,,
2025 MACU Reserve Men's Soccer Schedule,,,,
