Date,Time,Opponent,Location,Distance from MACU
19/08/25,6:00 PM,Tabor (Kan.),Gaulke Activity Center,0.05
21/08/25,5:00 PM,Friends (Kan.),"Fulton, Mo.",455
21/08/25,7:00 PM,William Woods (Mo.),"Fulton, Mo.",455
29/08/25,2:00 PM,Avila (Mo.),"Point Lookout, Mo.",325
29/08/25,4:30 PM,Mission (Mo.),"Point Lookout, Mo.",325
30/08/25,10:30 AM,Saint Mary (Kan.),"Point Lookout, Mo.",325
30/08/25,3:30 PM,Williams Baptist (Ark.),"Point Lookout, Mo.",325
03/09/25,6:00 PM,Science & Arts (Okla.),"Chickasha, Okla.",34
05/09/25,6:00 PM,Central Christian (Kan.),Gaulke Activity Center,0.05
06/09/25,1:00 PM,Langston (Okla.),Gaulke Activity Center,0.05
12/09/25,6:00 PM,Nelson (Texas),"Waxahachie, Texas",230
13/09/25,1:00 PM,Texas Wesleyan,"Fort Worth, Texas",195
19/09/25,6:00 PM,Oklahoma City,Gaulke Activity Center,0.05
20/09/25,1:00 PM,Southwestern Christian (Okla.),Gaulke Activity Center,0.05
26/09/25,6:00 PM,College of the Ozarks (Mo.),"Point Lookout, Mo.",325
27/09/25,1:00 PM,John Brown (Ark.),"Siloam Springs, Ark.",220
03/10/25,6:00 PM,Oklahoma Panhandle State,"Goodwell, Okla.",280
04/10/25,1:00 PM,Wayland Baptist (Texas),"Plainview, Texas",300
10/10/25,6:00 PM,Texas Wesleyan,Gaulke Activity Center,0.05
11/10/25,1:00 PM,Nelson (Texas),Gaulke Activity Center,0.05
14/10/25,6:00 PM,Science & Arts (Okla.),Gaulke Activity Center,0.05
15/10/25,6:00 PM,Langston (Okla.),"Langston, Okla.",55
18/10/25,1:00 PM,Central Christian (Kan.),"McPherson, Kan.",227
24/10/25,6:00 PM,John Brown (Ark.),Gaulke Activity Center,0.05
25/10/25,1:00 PM,College of the Ozarks (Mo.),Gaulke Activity Center,0.05
31/10/25,6:00 PM,Wayland Baptist (Texas),Gaulke Activity Center,0.05
01/11/25,1:00 PM,Oklahoma Panhandle State,Gaulke Activity Center,0.05
07/11/25,6:00 PM,Southwestern Christian (Okla.),"Bethany, Okla.",16.5
08/11/25,1:00 PM,Oklahoma City,Oklahoma City (A),12
11/11/25,TBA,SAC Quarterfinal,"TBD (home game if we finish top 4, away if finish 5-8)",
14/11/25,TBA,SAC Semifinal,"Fort Worth, Texas",195
15/11/25,TBA,SAC Championship,"Fort Worth, Texas",195
11/17-22/2025,TBA,NCCAA Central Region Championships,TBA,
12/3-6/2025,TBA,NCCAA National Championships,"Point Lookout, Mo.",325
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2025 MACU Volleyball Schedule,,,,
