Date,Time,Opponent,Location,Distance from MACU
21/08/25,6:00 PM,Ottawa (Kan.),"Ottawa, Kan.",308
23/08/25,11:00 AM,Baker (Kan.),"Baldwin City, Kan.",324
30/08/25,1:00 PM,Hastings (Neb.),Dill Soccer Field,19
03/09/25,6:00 PM,Kansas Wesleyan,"Salina, Kan.",258
06/09/25,1:00 PM,LSU Shreveport,"Shreveport, La.",385
11/09/25,3:00 PM,LSU Alexandria,Dill Soccer Field,19
15/09/25,2:30 PM,Columbia (Mo.),Dill Soccer Field,19
27/09/25,5:00 PM,Oklahoma City,Oklahoma City (A),12
30/09/25,5:00 PM,Wayland Baptist (Texas),"Plainview, Texas",300
04/10/25,5:00 PM,Science & Arts (Okla.),Dill Soccer Field,19
07/10/25,5:00 PM,Nelson (Texas),Dill Soccer Field,19
11/10/25,1:00 PM,Southwestern Christian (Okla.),"Bethany, Okla.",16
18/10/25,1:00 PM,Central Christian (Kan.),"McPherson, Kan.",227
20/10/25,5:00 PM,Oklahoma Panhandle State,Dill Soccer Field,19
25/10/25,5:00 PM,John Brown (Ark.),"Siloam Springs, Ark.",200
28/10/25,5:00 PM,Texas Wesleyan,Dill Soccer Field,19
30/10/25,TBA,Hesston (Kan.),"Hesston, Kan.",206
05/11/25,TBA,SAC Quarterfinal,"TBA (home if finish 1-4 in SAC, away if 5-8)",
08/11/25,TBA,SAC Semifinal,TBA (played at highest seed),
11/11/25,TBA,SAC Championship,TBA (played at highest seed),
11/20-22/2025,TBA,NAIA First & Second Round,TBA (played at regional sites),
12/1-8/2025,TBA,NAIA National Championships,"Pensacola, Fla. (If advance out of NAIA 1st & 2nd Round)",850
12/1-6/2025,TBA,NCCAA National Championships,"Kissimmee, Fla. (Will play if don't qualify for the NAIA Tournament)",1310
,,,,
,,,,
,,,,
,,,,
2025 MACU Women's Soccer Schedule,,,,
